SPY,GLD,VIX,TLT,TNX,UUP,FXE,USO
138.27,167.45,16.68,126.19,1.61,22.19,126.23,31.59
138.16,167.82,18.61,125.98,1.61,22.18,126.23,31.73
138.04,167.99,18.49,125.84,1.63,22.13,126.52,31.3
139.72,166.49,19.08,124,1.63,22.13,126.79,31.21
142.96,166.3,17.58,121.79,1.74,22.09,127.27,32.56
141.85,163.23,18.42,122.95,1.68,22.12,127.02,31.61
141.56,162.6,17.59,122.26,1.73,22.07,127.42,31.35
142.83,166.07,16.69,122.35,1.72,21.92,128.52,32.06
141.35,166.83,18.6,123.36,1.69,21.89,128.7,31.78
141.35,165.93,17.81,122.64,1.75,21.93,128.47,31.79
141.43,166.02,18.12,120.86,1.83,21.93,128.58,31.78
141.02,164.86,18.33,121.48,1.77,21.91,128.73,31.63
141.42,165.43,18.83,122.69,1.76,21.91,128.91,31.97
143.41,167.58,16.62,120.96,1.8,21.81,129.7,32.9
143.39,166.97,16.97,121.74,1.77,21.81,129.32,33.34
145.82,168.79,15.03,120.11,1.83,21.73,129.84,34.07
146.2,169.54,15.07,120.85,1.81,21.64,130.34,34.1
145.54,169.42,15.22,121.98,1.72,21.75,129.63,34.13
144.08,168.35,15.27,123.69,1.66,21.84,128.68,34
142.89,170.06,16.14,123.97,1.66,21.83,128.71,34
143.36,171.32,15.59,123.66,1.67,21.86,128.43,34.29
143.28,170.84,16.29,122.81,1.69,21.9,128.16,33.84
144.2,170.99,16.37,121.95,1.72,21.95,127.86,34.18
145.64,172.05,15.11,122.17,1.75,21.81,128.85,33.22
146.14,172.62,14.33,121.15,1.73,21.76,129.45,33.35
146.13,173.61,14.55,122.74,1.66,21.76,129.34,33.94
145.09,172.41,15.43,124.29,1.62,21.91,128.2,32.61
144.5,172.1,15.71,124.25,1.62,21.85,128.35,34.02
144.35,172.29,16.32,124.42,1.62,21.87,128.04,34.25
143.97,171.89,15.73,124.22,1.64,21.92,127.69,34.12
144.64,172.34,14.84,124.15,1.64,21.82,128.29,34.15
143.29,169.81,16.81,125.04,1.62,21.88,127.8,33.34
144.1,170.77,15.43,123.71,1.68,21.84,128.21,33.75
145.65,171.05,14.15,122.5,1.72,21.8,128.43,34.09
145.87,171.96,13.98,121.55,1.76,21.75,129.05,34.49
146.71,171.47,14.07,121.41,1.78,21.77,128.85,34.51
146.7,171.74,13.88,121.11,1.78,21.67,129.72,34.12
146.62,171.72,14.18,120.32,1.81,21.74,129.56,35.57
146.74,170.4,14.59,119.72,1.84,21.67,130.27,35.75
147.24,171.8,14.51,118.3,1.87,21.64,130.4,36.84
146.59,171.31,14.05,121.53,1.76,21.75,129.11,36.51
144.39,167.92,15.8,122.01,1.76,21.89,128.11,36.04
143.91,167.9,16.41,123.55,1.7,21.91,127.81,36.11
143.51,167.29,16.28,124.33,1.68,22.08,126.8,35.85
144.33,168.44,14.38,124.03,1.66,22.01,127.29,35.88
143.77,164.89,15.63,124.61,1.67,22.25,125.6,35.23
140.91,164.31,17.74,126.72,1.59,22.31,125.16,35.57
141.03,164.48,17.98,127.32,1.58,22.33,124.86,35.51
141.16,164.22,17.47,127.72,1.56,22.3,124.98,35.89
